,prompt_index,prompt_start,entropies.0,entropies.1,entropies.2,entropies.5,entropies.10,entropies.15,entropies.20,entropies.24,entropies.25
0,0,James and his mom were walking to the park one day. James saw a beautiful raven flying in the sky. H,0.002841018373146653,0.012692343443632126,0.013692114502191544,0.10690870881080627,0.8103346228599548,1.156943678855896,0.4531673789024353,0.3030208647251129,0.9297446608543396
1,1,Once there was a little girl. She liked to put on her bright red jacket and go walk in the park. It ,0.004979741759598255,0.005867837928235531,0.0334535613656044,0.13081151247024536,0.5681396722793579,0.9741736054420471,0.39895886182785034,0.3900519013404846,1.0618513822555542
2,2,"Ben and Mia are twins. They like to play with their stuff. They have many toys, books, and games. Bu",0.0046651712618768215,0.009815201163291931,0.031803544610738754,0.14957627654075623,0.6566165089607239,1.0628418922424316,0.377453088760376,0.3053331673145294,0.9153090715408325
3,3,Once upon a time there was an otter named Timmy. One day Timmy went out to look for food. He looked ,0.0002746260433923453,0.0045583778992295265,0.00906533282250166,0.16051621735095978,0.6323662400245667,0.9030564427375793,0.3621140122413635,0.33104580640792847,0.8375227451324463
4,4,"Bella was a human and she liked to play with her friends. One day, when they were playing in the gar",0.0006405154126696289,0.005041361320763826,0.0048319073393940926,0.07588274776935577,0.5764061808586121,0.9658306241035461,0.3657230734825134,0.3544337749481201,1.0495682954788208
5,5,"Lily liked to skip. She skipped in the park, she skipped in the school, she skipped in her home. She",0.003231405047699809,0.008471100591123104,0.035371966660022736,0.14604878425598145,0.6793363094329834,0.8964664936065674,0.35465747117996216,0.2812959849834442,0.8354589343070984
6,6,"Once upon a time, there was a fish named Nemo. Nemo lived in a big ocean with his friends. They like",5.2328065066831186e-05,0.004834786057472229,0.014183235354721546,0.10426580905914307,0.513465404510498,0.9277485609054565,0.38279277086257935,0.27889782190322876,0.8324150443077087
7,7,"One day, a rabbit named Hoppy went for a walk. Hoppy loved to hop all around. He was hopping near a ",0.002300714375451207,0.006372680421918631,0.012891723774373531,0.07535038143396378,0.6251887083053589,0.9826062917709351,0.5056630969047546,0.36050260066986084,0.9246973395347595
8,8,"Once upon a time, there was a curious little girl named Lily. She loved to explore the big, green pa",0.00032666962943039834,0.0028492433484643698,0.013946828432381153,0.10773400962352753,0.5988601446151733,1.0123264789581299,0.39237239956855774,0.30679941177368164,0.848168134689331
9,9,Ben and Lily are playing in the farm. They like to run and jump in the wheat field. The wheat is tal,0.0026755963917821646,0.013912484049797058,0.029872765764594078,0.11497481167316437,0.5432040691375732,1.0731890201568604,0.4317062199115753,0.330453097820282,0.8804813027381897
10,10,Monkey was embarrassed. He saw the stone on the path and he wanted to kick it. He stepped up and kic,5.554237625382541e-10,0.008108683861792088,0.008216970600187778,0.14003489911556244,0.598219096660614,0.795894205570221,0.5209203958511353,0.4445667266845703,1.3566800355911255
11,11,Lily was a little girl who liked to wear dresses. She had many dresses of different colors and patte,0.004640556871891022,0.009404406882822514,0.02898048609495163,0.16306377947330475,0.6744128465652466,0.9609151482582092,0.3827131986618042,0.2822362780570984,0.8244806528091431
12,12,"Once upon a time, there was a brilliant gate. It was so tall it seemed to reach up to the sky! Every",0.004185250960290432,0.008574978448450565,0.004786969628185034,0.11404728889465332,0.4881260395050049,1.1289516687393188,0.3574088215827942,0.31911948323249817,0.918997049331665
