,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,0,112,4753.0,87.07,-18.86,3268.02
1,1,88,5541.0,-64.14,59.28,747.53
2,2,67,1831.0,40.58,56.18,258.71
3,2,117,975.0,39.91,17.65,392.93
4,2,195,852.0,28.52,18.33,214.02
5,2,213,356.0,47.55,40.8,327.18
6,3,88,2193.0,56.03,4.03,1024.17
7,3,91,317.0,68.33,13.8,155.42
8,3,112,1709.0,71.88,-10.45,660.95
9,3,134,461.0,59.15,-2.74,566.35
10,4,87,1241.0,-83.16,-54.75,331.38
11,4,88,1076.0,-85.6,-5.24,363.62
12,4,130,650.0,-81.27,-26.83,180.22
13,4,251,1345.0,-80.79,-44.79,623.69
14,5,88,824.0,9.81,-22.69,386.44
15,5,97,633.0,33.6,-72.4,301.12
16,5,112,746.0,34.59,-28.03,831.36
17,5,134,2149.0,36.36,-60.67,345.8
18,6,97,803.0,11.87,-87.03,246.77
19,6,134,1330.0,-4.69,-81.03,395.09
20,6,162,2606.0,-20.63,-91.48,580.43
21,7,67,1759.0,8.86,92.77,327.49
22,7,88,747.0,-24.53,66.84,1670.76
23,7,112,1180.0,3.65,75.94,2670.39
24,7,251,1263.0,4.64,66.2,2364.72
25,8,88,4616.0,-10.01,28.4,705.85
26,9,88,899.0,-56.8,3.47,684.57
27,9,130,1556.0,-42.46,-12.88,246.32
28,9,251,2242.0,-38.29,-33.31,522.62
