,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,0,70,4025.0,-57.92,-80.81,104.08
1,0,78,595.0,0.58,-83.23,2162.47
2,1,25,330.0,-68.06,43.31,622.64
3,1,134,948.0,-74.91,33.1,499.6
4,1,187,1045.0,-72.12,48.51,738.67
5,1,191,3130.0,-90.06,17.77,406.56
6,2,25,626.0,-42.25,68.23,690.03
7,2,123,3320.0,-27.89,52.76,445.27
8,2,187,272.0,10.72,47.77,1150.22
9,3,25,1033.0,-45.71,-3.43,283.46
10,3,123,322.0,-32.42,8.03,555.24
11,3,187,304.0,-21.81,-6.38,583.08
12,3,191,1774.0,-68.8,-30.19,439.84
13,3,213,1278.0,-55.69,-30.51,491.71
14,4,87,3142.0,95.79,12.94,548.19
15,4,187,980.0,64.53,28.77,895.42
16,4,240,666.0,80.1,14.69,849.87
17,5,75,554.0,3.16,-42.36,869.58
18,5,105,388.0,0.21,-56.34,359.46
19,5,213,2270.0,-9.63,-72.44,597.61
20,5,240,800.0,9.37,-42.9,1441.51
21,6,63,2348.0,20.7,87.27,1450.07
22,6,75,1304.0,16.75,77.61,844.33
23,6,134,379.0,23.06,81.16,668.73
24,6,240,683.0,33.83,77.24,570.11
25,7,5,559.0,65.53,-65.59,271.27
26,7,78,390.0,45.79,-55.12,732.11
27,7,87,3056.0,61.3,-62.66,675.33
28,7,123,477.0,26.0,-54.35,1251.24
29,7,187,670.0,0.47,-21.88,1220.33
30,8,75,2266.0,6.5,16.08,464.26
31,8,78,848.0,4.52,9.8,568.44
32,8,187,1113.0,8.14,13.72,483.28
33,9,87,421.0,64.78,-25.11,309.61
34,9,187,4214.0,50.83,-0.3,551.4
