rank,activation,trigger_token,context
1,0.00830078125,<bos>,--><bos><--James and his mom were walking to the park one
2,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a bird named"
3,0.00830078125,<bos>,--><bos><--Lily and Ben are friends. They like to play
4,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little boy"
5,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little boy"
6,0.00830078125,<bos>,--><bos><--Tom and Anna like to play knights and dragons.
7,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little girl"
8,0.00830078125,<bos>,--><bos><--Once there was a little giraffe called Happy. He
9,0.00830078125,<bos>,--><bos><--Once upon a time there was a charming little mouse
10,0.00830078125,<bos>,--><bos><--Lily and Max were best friends. They liked to
11,0.00830078125,<bos>,--><bos><--Once upon a time there was a boy called Tim
12,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little girl"
13,0.00830078125,<bos>,--><bos><--Once upon a time there was a boy named Sam
14,0.00830078125,<bos>,--><bos><--Davey was a curious little boy. He always
15,0.00830078125,<bos>,--><bos><--Once upon a time there was a little girl called
16,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little girl"
17,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a cow named"
18,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little old"
19,0.00830078125,<bos>,"--><bos><--Once upon a time, there were two brothers."
20,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a young girl"
21,0.00830078125,<bos>,--><bos><--Sara and Ben are twins. They like to play
22,0.00830078125,<bos>,"--><bos><--One day, a little girl named Lucy was walking"
23,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little girl"
24,0.00830078125,<bos>,--><bos><--Once upon a time there was a girl named Sarah
25,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a boy named"
26,0.00830078125,<bos>,--><bos><--Once upon a time there was a little girl named
27,0.00830078125,<bos>,--><bos><--John was playing with his toys outside on the lawn
28,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little boy"
29,0.00830078125,<bos>,"--><bos><--Once upon a time, there was a little boy"
30,0.00830078125,<bos>,--><bos><--Once there was a stubborn little spark. It buzz
