Class,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,4936.0,9.169367790222168,46.563514709472656,1258.9091796875
1,5618.0,-66.40580749511719,-37.478702545166016,703.9974975585938
2,4965.0,-39.867366790771484,58.560386657714844,1748.1361083984375
3,5109.0,-70.32131958007812,14.22498607635498,1033.7198486328125
4,4868.0,59.15648651123047,-30.773591995239258,683.4456787109375
5,4518.0,31.239248275756836,36.48909378051758,1534.5955810546875
6,4932.0,81.29961395263672,26.909107208251953,751.348388671875
7,5221.0,-16.31422996520996,-73.0313491821289,912.8633422851562
8,4876.0,-9.067566871643066,12.96787166595459,693.802001953125
9,4957.0,32.30744552612305,-60.79695510864258,917.6324462890625
